sigma,L,Gamma,R_xi,energy,variance,relative_variance,discarded_weight,sweeps,quality_flags
2.0,64,1.3,0.9655049451657759,-100.73318879996633,2.972394213429652e-06,2.9292824042068866e-10,3.243200791974242e-08,22,relative_variance;discarded_weight
2.0,64,1.35,0.7236263075326895,-102.76937593022035,6.192552973516285e-06,5.86330237762924e-10,6.398219410305504e-08,31,relative_variance;discarded_weight;sweep_cap_reached
2.0,64,1.4,0.46108131390866935,-104.94251373339101,9.771134500624612e-06,8.87241946146505e-10,9.425925067224422e-08,19,relative_variance;discarded_weight
2.0,64,1.45,0.27194427868088045,-107.27411689656822,8.233966582338326e-06,7.155157600732075e-10,8.39876296112254e-08,19,relative_variance;discarded_weight
2.0,64,1.5,0.17799685842830482,-109.74091706427996,4.897025064565241e-06,4.0662601153652964e-10,5.3644531453186126e-08,30,relative_variance;discarded_weight;sweep_cap_reached
2.0,64,1.55,0.13100923403339576,-112.30235619999114,2.740338459261693e-06,2.1728336047731196e-10,3.3737106170088564e-08,31,relative_variance;discarded_weight;sweep_cap_reached
2.0,64,1.6,0.10411753126031373,-114.93364903437536,1.4125562302069739e-06,1.0693290228692778e-10,2.2246080405655806e-08,19,relative_variance;discarded_weight
2.0,64,1.65,0.08689898074974022,-117.62047873278492,8.385104592889547e-07,6.060976481164673e-11,1.4499201422857129e-08,31,discarded_weight;sweep_cap_reached
2.0,64,1.7,0.0749626324623559,-120.35333140519212,5.016336217522621e-07,3.463142841349807e-11,1.0046805977283753e-08,17,discarded_weight
2.0,64,1.75,0.06620372217366058,-123.12524907101195,3.1541094358544797e-07,2.0805708695928363e-11,7.318987247401949e-09,18,
2.0,64,1.8,0.0594992659664252,-125.93086086017772,2.1452251530718058e-07,1.3527219466127592e-11,5.420738437417606e-09,17,
2.0,64,1.85,0.0541981496179249,-128.76588099192023,1.4441684470511973e-07,8.70996169316544e-12,4.293038077620336e-09,17,
2.0,64,1.9,0.049897697288351674,-131.6268103845696,1.0089934221468866e-07,5.823708383948033e-12,3.3763000529244657e-09,17,
