model,sigma,L,Gamma,chi,poles,MPO_bond_dimension,MPO_error,E0,E1,gap,ground_variance,excited_variance,normalized_ground_variance,normalized_excited_variance,discarded_weight,convergence_residual,correlation_ratio,ed_E0,ed_E1,ed_gap,ed_correlation_ratio,ed_energy_relative_error,correlation_ratio_absolute_error,runtime,git_commit
long_range,1.75,8,1.6,64,16,34,"{""max_absolute"":2.0816681711721685e-17,""max_relative"":4.3903717715005326e-16,""rms_relative"":2.0239724628135877e-16}",-14.63586026781124,,,6.486629899882246e-9,,3.0281864412817184e-11,,,1.3322676295501878e-15,0.310650413281085,-14.635860268357321,-14.068740766914308,0.5671195014430133,0.3106496899547256,3.731113198188231e-11,7.233263594197403e-7,193.78862500190735,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.57,64,12,26,"{""max_absolute"":4.722298940773584e-12,""max_relative"":1.7332795807236662e-9,""rms_relative"":7.178614507620418e-10}",-57.22614284669703,,,3.6115170587436296e-7,,1.1028100655964873e-10,,,2.109872276889746e-10,0.3281811911724051,,,,,,,233.9099440574646,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.4249999999999998,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.073166489448454,,,2.4683868105057627e-7,,8.763209975711573e-11,,,1.0523804050421859e-12,0.3556008523402187,,,,,,,260.6575388908386,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.5609,128,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-113.93255911709292,,,2.46451236307621e-7,,1.8986079548352273e-11,,,1.6356915821802431e-12,0.34663098237450124,,,,,,,564.6086239814758,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.58,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-114.86581054253132,,,1.4734738215338439e-5,,1.1167626005693015e-9,,,4.2057690663455105e-11,0.29260049141057587,,,,,,,345.1835079193115,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,24,1.6,64,16,34,"{""max_absolute"":6.956102360788918e-13,""max_relative"":1.946358190301128e-10,""rms_relative"":7.76745793951071e-11}",-43.502678426004515,,,2.9137709134374745e-8,,1.5396549754391e-11,,,2.9230917686362545e-10,0.2961351652258382,,,,,,,224.10260105133057,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,16,1.46,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-27.00508569007067,,,1.8130833723262185e-7,,2.486146151589672e-10,,,3.0946356588401613e-12,0.31984062320893397,-27.005085700600784,-25.570206712351528,1.434878988249256,0.3198406602368099,3.8993082869712885e-10,3.702787593207191e-8,204.14537286758423,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,32,1.43,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.19009813956407,,,2.438100636936724e-7,,8.617673675393636e-11,,,1.3128387266192476e-12,0.34583378977935425,,,,,,,242.00872707366943,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,48,0.98,64,,4,,-60.528524953327796,,,1.0533995009609498e-7,,2.8752322246960827e-11,,,2.6742497105658458e-11,0.5224864855577418,,,,,,,223.81800413131714,5b254486579d4041e900f3266df067a8f85edfc4
nn,,16,1.0,64,,4,,-20.40459447365191,-20.306340774004028,0.09825369964788067,1.0031044439529069e-8,7.904361609689659e-9,2.4092963273644567e-11,1.9169176669781935e-11,,4.5145731597528993e-10,0.40080352136022507,-20.40459447475665,-20.306340775217688,0.09825369953896157,0.4007898597107898,5.414178599753538e-11,1.3661649435281475e-5,233.73482012748718,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,48,1.58,64,16,34,"{""max_absolute"":1.010147521185445e-11,""max_relative"":3.145303696092942e-10,""rms_relative"":1.44621784158805e-10}",-86.16466171263598,,,3.944091986340936e-6,,5.312374222388895e-10,,,9.359957253707307e-12,0.302923074959829,,,,,,,292.98689794540405,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.46,64,12,26,"{""max_absolute"":2.1959350327699356e-9,""max_relative"":4.1315078897799463e-7,""rms_relative"":1.4830553177602834e-7}",-107.75812495329359,,,7.780134183121845e-6,,6.700188723760258e-10,,,1.4624967903387187e-11,0.24703145955123762,,,,,,,11919.431491851807,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.6,64,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-29.05036289180701,,,1.7359980120090768e-10,,2.0570559285488692e-13,,,2.5706103912170875e-12,0.3057551982694932,-29.05036289181218,-27.381541540273815,1.6688213515383659,0.3057551982856254,1.780614973932551e-13,1.61322066816183e-11,221.3434817790985,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,48,1.38,64,16,34,"{""max_absolute"":3.8797343115959393e-10,""max_relative"":5.472232874755494e-10,""rms_relative"":2.998126520572872e-10}",-78.0499176935234,,,2.4971413949970156e-6,,4.099191760817293e-10,,,6.3160587870925156e-12,0.5107942326208323,,,,,,,438.8436999320984,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,24,1.02,64,,4,,-30.890935733191252,,,1.241460267920047e-10,,1.3009802299125041e-13,,,3.6637359812630166e-15,0.34507351423807286,,,,,,,212.5784158706665,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.42,64,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.532016035920364,,,1.2937562132719904e-10,,1.8378579712312138e-13,,,1.718791775573436e-11,0.3592524825397663,-26.53201603592781,-25.149044217092406,1.3829718188354043,0.35925248256255266,2.806604617109508e-13,2.2786328379709175e-11,221.45419597625732,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,48,1.57,64,16,34,"{""max_absolute"":1.010147521185445e-11,""max_relative"":3.145303696092942e-10,""rms_relative"":1.44621784158805e-10}",-85.79675286251471,,,4.154027010372374e-6,,5.643228207382757e-10,,,1.026612128640636e-11,0.32409513532255235,,,,,,,322.0861530303955,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,16,1.4,64,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.301939785337566,,,1.3039880286669359e-10,,1.8849422368576415e-13,,,2.1094237467877974e-11,0.3815329390261916,-26.301939785345215,-24.936818973036246,1.3651208123089695,0.3815329390487953,2.908147692863059e-13,2.2603696692158337e-11,217.58803510665894,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,48,1.6,64,16,34,"{""max_absolute"":1.010147521185445e-11,""max_relative"":3.145303696092942e-10,""rms_relative"":1.44621784158805e-10}",-86.91104824473342,,,3.4537870305939578e-6,,4.5724143416675093e-10,,,7.950862190853059e-12,0.26623826528998373,,,,,,,297.7597029209137,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,32,1.0,64,,4,,-40.760032493847845,-40.710935247988516,0.049097245859329064,3.6679921322502196e-9,1.347052602795884e-8,2.2077980851643267e-12,8.127601398646448e-12,,6.59472476627343e-14,0.39681767226300496,,,,,,,253.24964809417725,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.38,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.07641135031488,,,2.2747769889974734e-7,,3.345362464440479e-10,,,1.0836997965668616e-11,0.4056130319797819,-26.07641136383669,-24.72339032416847,1.3530210396682207,0.4056130911070825,5.18545641163824e-10,5.9127300611194755e-8,199.0610008239746,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.44,64,12,26,"{""max_absolute"":2.1959350327699356e-9,""max_relative"":4.1315078897799463e-7,""rms_relative"":1.4830553177602834e-7}",-106.7955488704631,,,9.211331416736357e-6,,8.07636808495351e-10,,,1.6709300609818456e-11,0.300636926109362,,,,,,,4509.867182970047,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,48,1.56,64,16,34,"{""max_absolute"":1.010147521185445e-11,""max_relative"":3.145303696092942e-10,""rms_relative"":1.44621784158805e-10}",-85.43261068246005,,,4.3253294279566035e-6,,5.92613900540783e-10,,,7.041256466777668e-12,0.3472832184041625,,,,,,,375.01214385032654,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,48,1.0,128,,4,,-61.126407818149445,-61.093679970193264,0.03272784795618122,9.185896487906575e-11,1.4942088455427438e-8,2.4584636878570504e-14,4.003305487488537e-12,,6.607270286451694e-12,0.39507909047773665,,,,,,,537.782418012619,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.56,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.98348299476608,,,4.145257253185264e-5,,1.2765960778524357e-8,,,5.537500458174804e-10,0.34421908418513536,,,,,,,212.96387100219727,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,8,1.44,64,16,34,"{""max_absolute"":1.1102230246251565e-15,""max_relative"":1.1884295861105445e-15,""rms_relative"":1.1088955911826598e-15}",-13.4777406714923,,,1.6782166767370654e-9,,9.238763309512338e-12,,,8.881784197001252e-16,0.33824489606871105,-13.477740671668673,-13.043790979504653,0.43394969216402046,0.3382447063684385,1.3086221090301987e-11,1.8970027254594513e-7,193.34361386299133,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.6,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.9673736682264,,,3.42010025633499e-7,,1.0178214254787683e-10,,,1.2954082251326327e-12,0.2859486233718153,,,,,,,247.0018880367279,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,48,1.54,64,16,34,"{""max_absolute"":1.010147521185445e-11,""max_relative"":3.145303696092942e-10,""rms_relative"":1.44621784158805e-10}",-84.71623848067532,,,4.499225724430289e-6,,6.269089262761537e-10,,,7.6234574208911e-12,0.3998059047889622,,,,,,,358.0566098690033,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,24,1.44,64,16,34,"{""max_absolute"":1.3103074181231023e-11,""max_relative"":1.3420947604436945e-10,""rms_relative"":4.667881506728346e-11}",-40.090857513714916,,,2.3248048819368705e-8,,1.446424661059945e-11,,,6.012192965698659e-10,0.3335927961567003,,,,,,,214.83113503456116,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.52,64,12,26,"{""max_absolute"":4.722298940773584e-12,""max_relative"":1.7332795807236662e-9,""rms_relative"":7.178614507620418e-10}",-56.036958733148595,,,3.7901827454334125e-7,,1.2070104668404854e-10,,,1.3222756223285614e-12,0.4187065333732514,,,,,,,233.12375402450562,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,24,0.98,64,,4,,-30.279455860350247,,,1.1038991942768916e-10,,1.2040188427062272e-13,,,3.9968028886505635e-15,0.4606309331638916,,,,,,,208.49089097976685,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.54,64,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-112.9347707134418,,,1.7120144548243843e-5,,1.3423076899993576e-9,,,5.5961235645440865e-11,0.4197570342641743,,,,,,,336.1431620121002,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,64,1.57,64,12,26,"{""max_absolute"":1.9563988519488706e-9,""max_relative"":2.7012645553327474e-7,""rms_relative"":1.0146514055660403e-7}",-114.37476272799832,,,1.5741077731945552e-5,,1.2033003728974714e-9,,,4.361344618786234e-11,0.3193704248833302,,,,,,,384.4875838756561,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,8,1.56,64,16,34,"{""max_absolute"":2.0816681711721685e-17,""max_relative"":4.3903717715005326e-16,""rms_relative"":2.0239724628135877e-16}",-14.390348280943769,,,7.688100822633714e-9,,3.7125854647619376e-11,,,9.992007221626409e-16,0.3285459469178182,-14.39034828159764,-13.884319752952566,0.506028528645075,0.3285453861327405,4.54382069646559e-11,5.607850777078482e-7,193.0534348487854,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,16,1.0,128,,4,,-20.404594474077484,-20.306340774754677,0.09825369932280736,3.6075675780011807e-9,3.5708467294170987e-9,8.664799930288038e-12,8.659800144762882e-12,,4.5145731597528993e-10,0.400803070044067,-20.404594474756653,-20.30634077521774,0.09825369953891183,0.4007898597107854,3.328508792972289e-11,1.3210333281610254e-5,236.64471793174744,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.58,64,12,26,"{""max_absolute"":4.722298940773584e-12,""max_relative"":1.7332795807236662e-9,""rms_relative"":7.178614507620418e-10}",-57.47106639324488,,,3.5465154724079184e-7,,1.0737504220332026e-10,,,1.805555704947892e-12,0.3131453516326583,,,,,,,248.54716205596924,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,16,1.44,64,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.766464582669254,,,1.2607870303327218e-10,,1.7597853957088181e-13,,,8.718470390078892e-12,0.338715141575177,-26.76646458267631,-25.360140192587615,1.4063243900886953,0.3387151415961761,2.636018419356119e-13,2.0999091354667598e-11,213.30894303321838,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,32,1.01,64,,4,,-40.965845511439696,,,3.678223947645165e-9,,2.191766687594735e-12,,,6.405986852087153e-14,0.3606321757747715,,,,,,,210.7762680053711,5b254486579d4041e900f3266df067a8f85edfc4
nn,,32,1.0,128,,4,,-40.76003249419231,-40.71093524977426,0.04909724441804997,-5.4569682106375694e-12,9.158611646853387e-10,3.2845991844190583e-15,5.525956794084779e-13,,6.8833827526759706e-15,0.39681768595992156,,,,,,,308.21023988723755,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,64,1.43,64,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-106.32281023697021,,,9.775927537702955e-6,,8.647788904160397e-10,,,1.7724599565838162e-11,0.3338597738435049,,,,,,,25833.02496600151,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.44,32,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-53.42591565947364,,,2.8712148832710227e-5,,1.005916074281743e-8,,,1.635579449654756e-10,0.32730706404232596,,,,,,,211.43981409072876,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,8,1.4,64,16,34,"{""max_absolute"":1.1102230246251565e-15,""max_relative"":1.1884295861105445e-15,""rms_relative"":1.1088955911826598e-15}",-13.24404157038023,,,1.9693402464326937e-9,,1.1227412677284651e-11,,,1.7763568394002505e-15,0.3609721862529414,-13.244041570588712,-12.865553499624225,0.37848807096448667,0.36097202904479886,1.5741578531374478e-11,1.57208142559373e-7,193.3134160041809,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.57,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.226142845436854,,,3.622180884121917e-7,,1.1060663631439115e-10,,,1.4913625889789728e-12,0.3281811896067089,,,,,,,262.08664894104004,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.58,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.47106639202073,,,3.546392690623179e-7,,1.0737132484096876e-10,,,1.8038903704109543e-12,0.31314535147134204,,,,,,,264.7962119579315,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,24,1.0,64,,4,,-30.579576597346307,,,1.248281478183344e-10,,1.3349026362963558e-13,,,4.551914400963142e-15,0.39832215176066227,,,,,,,209.44028902053833,5b254486579d4041e900f3266df067a8f85edfc4
nn,,64,0.98,64,,4,,-80.69944097536353,,,6.087675501476042e-7,,9.347822174595288e-11,,,8.359979375427429e-12,0.5667775898214,,,,,,,245.77928185462952,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,24,1.38,64,16,34,"{""max_absolute"":1.3103074181231023e-11,""max_relative"":1.3420947604436945e-10,""rms_relative"":4.667881506728346e-11}",-39.058583252837074,,,2.405181476206053e-8,,1.5765758789097564e-11,,,1.1102230246251565e-13,0.4324986867954042,,,,,,,225.3986999988556,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.43,64,12,26,"{""max_absolute"":2.1959350327699356e-9,""max_relative"":4.1315078897799463e-7,""rms_relative"":1.4830553177602834e-7}",-106.32281026381877,,,9.776995284482837e-6,,8.648733428965763e-10,,,4.789713070607604e-11,0.3338598122066701,,,,,,,333.22043895721436,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.58,64,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.803229018517968,,,1.8917489796876907e-10,,2.2802431160194407e-13,,,5.058065077889751e-12,0.32133800304525056,-28.80322901852365,-27.16871333244034,1.6345156860833079,0.32133800306361693,1.9722751114983072e-13,1.8366363985222733e-11,215.27911496162415,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.52,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.03695873177296,,,3.790059963648673e-7,,1.206971366173138e-10,,,1.3210543770014738e-12,0.4187065331537671,,,,,,,251.21020102500916,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,32,1.56,64,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.98348597166559,,,3.7021982279838994e-7,,1.1401490799724392e-10,,,1.4016565685892601e-12,0.34422305731804886,,,,,,,266.80552101135254,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.555,128,16,34,"{""max_absolute"":6.560996190785318e-11,""max_relative"":2.2741813590818206e-10,""rms_relative"":1.1039770919103901e-10}",-113.64832438385115,,,2.5223744160030037e-7,,1.9529156194989286e-11,,,1.9608759060929515e-12,0.3658105105765595,,,,,,,598.549684047699,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,32,1.4,64,16,34,"{""max_absolute"":1.9900192604893618e-10,""max_relative"":3.9514126943571994e-10,""rms_relative"":1.8717586661851034e-10}",-52.498664590969156,,,2.474116627126932e-7,,8.97684352647318e-11,,,1.7004175845158898e-12,0.4095427349991735,,,,,,,254.7225239276886,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,16,1.58,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.803229002854255,,,3.0624016744695837e-7,,3.6913038776653596e-10,,,2.9483082641945657e-12,0.32133796601904824,-28.80322901852365,-27.16871333244034,1.6345156860833079,0.32133800306361693,5.440151478935564e-10,3.704456869035866e-8,204.23815083503723,5b254486579d4041e900f3266df067a8f85edfc4
nn,,64,1.0,64,,4,,-81.49551257645955,,,8.105917004286312e-7,,1.2204915063821637e-10,,,8.851364086126523e-12,0.3940925819063672,,,,,,,242.02868390083313,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,16,1.42,32,16,34,"{""max_absolute"":1.5942802633617248e-13,""max_relative"":1.5933259852848795e-13,""rms_relative"":8.303178676580583e-14}",-26.5320160238326,,,2.059719008684624e-7,,2.9259538723165277e-10,,,9.101386311272108e-12,0.3592524358897184,-26.53201603592781,-25.149044217092406,1.3829718188354043,0.35925248256255266,4.558722620393465e-10,4.6672834264072094e-8,203.08074283599854,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,1.0,64,,4,,-61.126407805894594,,,1.0952908269246109e-7,,2.931377171800068e-11,,,9.632517006252783e-12,0.39507886786023444,,,,,,,227.47019696235657,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,24,1.57,64,16,34,"{""max_absolute"":6.956102360788918e-13,""max_relative"":1.946358190301128e-10,""rms_relative"":7.76745793951071e-11}",-42.94760421833031,,,3.2247953640762717e-8,,1.7483334884386943e-11,,,8.872426127126687e-10,0.3295618484719768,,,,,,,232.99944615364075,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,16,1.01,64,,4,,-20.507449007636804,,,4.482956228457624e-9,,1.0659607599156428e-11,,,3.8522574019594913e-10,0.38168120434805963,-20.50744900824597,-20.398354087880126,0.10909492036584467,0.3816701255847131,2.970462346099627e-11,1.1078763346550335e-5,208.05038499832153,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,24,1.56,64,16,34,"{""max_absolute"":6.956102360788918e-13,""max_relative"":1.946358190301128e-10,""rms_relative"":7.76745793951071e-11}",-42.76564800827533,,,3.3247488318011165e-8,,1.8178947186589856e-11,,,1.7219559111936178e-13,0.341924287030398,,,,,,,223.3655788898468,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,64,1.0,64,,4,,-81.49551257645955,-81.47096767653582,0.02454489992372544,8.105917004286312e-7,5.383699317462742e-7,1.2204915063821637e-10,8.11101205566306e-11,,8.851364086126523e-12,0.3940925819063672,,,,,,,330.68091011047363,5b254486579d4041e900f3266df067a8f85edfc4
nn,,24,1.01,64,,4,,-30.733875573342683,,,1.2755663192365319e-10,,1.3504185219729638e-13,,,4.3298697960381105e-15,0.37056055446384095,,,,,,,210.22000098228455,5b254486579d4041e900f3266df067a8f85edfc4
nn,,48,1.02,64,,4,,-61.75079357011805,,,1.126663846662268e-7,,2.954671970220267e-11,,,1.6090462295892394e-12,0.29838722179670657,,,,,,,223.51100611686707,5b254486579d4041e900f3266df067a8f85edfc4
long_range,1.75,48,1.52,64,16,34,"{""max_absolute"":1.010147521185445e-11,""max_relative"":3.145303696092942e-10,""rms_relative"":1.44621784158805e-10}",-84.01643981114307,,,4.427102794579696e-6,,6.271783487171264e-10,,,7.765454945740657e-12,0.4600085931129848,,,,,,,362.43706607818604,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.567,128,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-57.15310411678678,,,1.4993020158726722e-9,,4.589966111805298e-13,,,1.8451429273369513e-10,0.3328868550435345,,,,,,,275.9114010334015,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.54,64,12,26,"{""max_absolute"":1.9563988519488706e-9,""max_relative"":2.7012645553327474e-7,""rms_relative"":1.0146514055660403e-7}",-112.93477071096767,,,1.7135616872110404e-5,,1.343520800102343e-9,,,2.3199775434079584e-11,0.41975696207073165,,,,,,,15610.313738107681,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,48,1.43,64,16,34,"{""max_absolute"":3.8797343115959393e-10,""max_relative"":5.472232874755494e-10,""rms_relative"":2.998126520572872e-10}",-79.75344879826189,,,2.5600566004868597e-6,,4.024858552794046e-10,,,1.0564771280030527e-11,0.3401747841963607,,,,,,,315.80102705955505,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,32,1.52,32,16,34,"{""max_absolute"":6.028910704003465e-11,""max_relative"":3.162632532717331e-10,""rms_relative"":1.6849773279565732e-10}",-56.03695568011186,,,4.141738872931455e-5,,1.3189661425432605e-8,,,1.244001568423414e-10,0.4187023424700008,,,,,,,211.68197393417358,5b254486579d4041e900f3266df067a8f85edfc4
nn,,64,1.0,128,,4,,-81.49551266876574,-81.47096774400939,0.024544924756355613,1.6061676433309913e-9,1.3787939678877592e-9,2.4183740852935295e-13,2.0772732312546165e-13,,2.6584290324649373e-12,0.39409394262012476,,,,,,,1093.362529039383,5b254486579d4041e900f3266df067a8f85edfc4
long_range,2.0,8,1.46,64,16,34,"{""max_absolute"":1.1102230246251565e-15,""max_relative"":1.1884295861105445e-15,""rms_relative"":1.1088955911826598e-15}",-13.597046291827253,,,1.5433556654897984e-9,,8.347892893452348e-12,,,6.661338147750939e-16,0.32776924665534063,-13.597046291988732,-13.134068418444325,0.462977873544407,0.32776903395088963,1.1876088013381427e-11,2.1270445099697e-7,192.3405520915985,486b2673baa11d44a1048fbf9fd36751189889d7
nn,,16,1.0,128,,4,,-20.404594474756657,,,-2.2737367544323206e-13,,5.461151771660738e-16,,,2.220446049250313e-15,0.40078985971078995,-20.404594474756653,-20.30634077521774,0.09825369953891183,0.4007898597107854,1.7411341760286912e-16,4.551914400963142e-15,220.19861388206482,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,48,1.44,64,16,34,"{""max_absolute"":3.8797343115959393e-10,""max_relative"":5.472232874755494e-10,""rms_relative"":2.998126520572872e-10}",-80.10764478325682,,,2.444268830004148e-6,,3.808912910608345e-10,,,8.942624418750711e-12,0.31395036131464155,,,,,,,295.4537649154663,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,48,1.42,64,16,34,"{""max_absolute"":3.8797343115959393e-10,""max_relative"":5.472232874755494e-10,""rms_relative"":2.998126520572872e-10}",-79.40359911791774,,,2.6390134735265747e-6,,4.185633819167373e-10,,,6.194045276686211e-12,0.3691674063673447,,,,,,,378.6765260696411,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,64,1.52,64,12,26,"{""max_absolute"":1.9563988519488706e-9,""max_relative"":2.7012645553327474e-7,""rms_relative"":1.0146514055660403e-7}",-112.0041184472649,,,1.6228583263000473e-5,,1.2936375812141966e-9,,,6.010580921866904e-11,0.5015726429728489,,,,,,,295.37525606155396,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,2.0,64,1.4239000000000002,128,16,34,"{""max_absolute"":7.90776333303711e-10,""max_relative"":7.907690720178257e-10,""rms_relative"":3.074909114644415e-10}",-106.0374523299182,,,1.3840872270520777e-7,,1.2309626940761272e-11,,,1.4589440766599182e-12,0.35641316372198967,,,,,,,725.953910112381,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.59,64,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.926360135411436,,,1.8030732462648302e-10,,2.1548934031304605e-13,,,3.755107336189667e-12,0.3133934800881513,-28.926360135416843,-27.275233470302375,1.651126665114468,0.3133934801053784,1.869308891205382e-13,1.7227053117352398e-11,223.3446500301361,486b2673baa11d44a1048fbf9fd36751189889d7
long_range,1.75,16,1.56,32,16,34,"{""max_absolute"":2.7067237340361316e-13,""max_relative"":4.164404413474493e-13,""rms_relative"":2.384603445333114e-13}",-28.559678051582377,,,3.2756474865891505e-7,,4.015970773903911e-10,,,2.8733682100323676e-12,0.3381834616283839,-28.559678068415508,-26.95498241537553,1.604695653039979,0.33818350328063584,5.89401967514088e-10,4.1652251925317074e-8,199.1774320602417,5b254486579d4041e900f3266df067a8f85edfc4
